//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,
MLB 2025 Live LF Chris Taylor LAD,72629,59,1,,,,2025,N,Los Angeles Dodgers,LAD,Taylor,Chris,CT3,3,29,8,1990,1,1,7,0,64,73,68,88,52,78,67,76,73,96,54,82,63,73,67,85,51,78,3,2,0,66,54,86,73,67,60,1,28,1,1,84,1,28,1,1,84,1,28,1,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-,4,185,61,48,64,59,1,1,3,65,65,65,106,0,79,57,51,42,78,44,68,0,1,1,1,1,1,1,1,8,0,1,0,0,tayloch03,6,25,20,0,2025-03-14,
Snapshot SP Billy Taylor SL5 1884,71095,95,7,,,,1884,N,SL5,SL5,Taylor,Billy,Bollicky Bill,98,7,2,1855,1,1,1,11,112,129,80,27,115,100,114,133,83,35,118,102,111,128,80,24,114,100,0,0,0,64,75,85,83,6,3,77,97,82,98,97,74,93,81,95,90,79,101,84,101,103,71,78,82,0,0,0,70,0,0,0,0,0,92,54,2,90-92,3,180,54,48,57,60,50,50,56,79,53,62,101,44,69,0,0,0,93,66,80,1,1,0,0,0,1,1,1,0,4,75,0,0,taylobi01,4600,20000,10875,0,2025-03-14,
All-Time Legend CF Willy Taveras HOU Peak,71376,69,4,,,,2004,Y,Houston Astros,HOU,Taveras,Willy,,1,25,12,1981,1,1,8,0,80,43,15,69,86,77,78,51,9,75,82,76,82,41,18,67,88,78,0,0,0,76,86,93,70,68,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,21,2,90-92,2,183,7,3,10,1,0,0,0,99,61,103,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,1,0,5,1,2,0,0,taverwi01,26,147,137,3356,2025-03-14,
MLB 2025 Live CF Leody Taveras TEX,72204,70,1,,,,2025,N,Texas Rangers,TEX,Taveras,Leody,,3,8,9,1998,3,1,8,0,77,91,61,73,77,78,79,93,63,75,79,79,77,91,61,73,77,78,1,1,0,73,71,81,73,60,54,1,20,1,1,60,1,20,1,1,60,1,20,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,90-92,3,185,20,22,55,16,1,1,1,87,81,68,55,0,35,0,9,0,108,83,95,0,1,0,1,0,1,1,1,8,2,5,0,1,taverle01,1521,0,2063,0,2025-03-14,
Unsung Heroes SS Jackie Tavener DET 1927,70454,60,8,,,,1927,N,Detroit Tigers,DET,Tavener,Jackie,Rabbit,1,27,12,1897,2,1,6,0,62,102,73,69,73,54,57,60,48,49,66,50,64,121,80,76,76,55,2,2,0,72,88,74,61,95,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,0,0,0,0,0,0,0,0,0,0,0,1,5,2,91-93,3,165,86,70,82,85,0,0,0,3,9,1,0,0,0,0,0,80,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,tavenja01,92,148,88,0,2025-03-14,
MLB 2025 Live RF Mike Tauchman CWS,71942,79,1,,,,2025,N,Chicago White Sox,CHW,Tauchman,Mike,,40,3,12,1990,2,2,9,0,75,84,58,109,74,77,73,82,57,106,72,76,76,85,59,111,75,78,0,0,0,52,35,78,60,51,37,1,21,1,1,63,1,22,1,1,65,1,21,1,1,62,5,0,0,0,0,0,0,0,0,0,0,0,2,0,4,75-80,3,185,31,33,46,22,1,1,1,70,78,60,76,0,52,0,0,0,85,53,73,0,1,0,0,0,1,1,1,8,2,5,0,0,tauchmi01,165,350,348,0,2025-03-14,
Ted Simmons Mission - Snapshot C Ed Taubensee CIN 1999,71191,74,7,,,Ted Simmons Mission,1999,N,Cincinnati Reds,CIN,Taubensee,Ed,,10,31,10,1968,2,1,2,0,90,72,84,45,83,93,98,62,72,34,91,98,88,76,91,50,80,92,0,1,0,26,15,6,27,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,0,0,0,0,0,0,0,0,0,0,0,1,12,2,92-94,4,193,4,7,10,3,43,39,33,1,2,9,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,5,0,0,taubeed01,180,0,374,0,2025-03-14,
MLB 2025 Live RF Fernando Tatis Jr. SD,72658,100,1,,,,2025,N,San Diego Padres,SDP,Tatis Jr.,Fernando,,23,2,1,1999,1,1,9,0,87,115,113,77,75,99,90,117,118,78,77,101,86,114,112,77,75,98,3,2,0,71,57,83,74,61,53,1,29,1,1,85,1,29,1,1,85,1,29,1,1,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,90-92,3,191,59,69,89,54,1,1,1,72,72,88,119,0,94,62,73,55,93,60,87,0,1,1,1,1,1,1,1,8,5,200,0,0,tatisfe02,20001,28000,27499,0,2025-03-14,
Snapshot 3B Fernando Tatis TEX 1998,71004,55,7,,,,1998,N,Texas Rangers,TEX,Tatis,Fernando,,4,1,1,1975,1,1,5,0,73,85,49,57,62,84,76,81,33,60,74,79,72,86,54,57,59,86,0,1,0,62,61,77,64,17,6,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,33,0,0,0,0,0,0,0,0,0,0,0,1,21,2,90-92,3,180,87,57,96,37,0,0,0,5,6,7,0,0,78,0,82,0,0,0,0,0,1,0,1,0,1,0,0,5,0,1,0,0,tatisfe01,18,53,52,0,2025-03-14,
MLB 2025 Live RP Dillon Tate TOR,71925,69,1,,,,2025,N,Toronto Blue Jays,TOR,Tate,Dillon,,55,1,5,1994,1,1,1,12,28,12,22,11,37,18,29,13,24,12,39,19,28,12,22,11,37,18,2,2,0,22,18,25,23,25,6,58,88,82,84,97,53,77,79,76,80,64,99,86,93,111,0,69,0,58,0,73,0,0,0,0,0,0,16,53,2,93-95,3,188,39,45,42,10,1,1,5,19,9,17,86,0,70,11,20,0,0,0,0,0,1,1,1,0,0,0,0,8,1,2,0,1,tatedi01,43,105,100,0,2025-03-14,
Snapshot CF Jose Tartabull KC1 1965,70875,66,7,,,,1965,N,Kansas City Athletics,OAK,Tartabull,Jose,,10,27,11,1938,2,2,8,0,82,71,28,70,91,76,98,89,18,84,76,115,79,66,31,66,97,68,0,0,0,86,82,76,93,41,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,2,2,89-91,3,180,1,7,6,10,0,0,0,75,90,67,0,0,0,0,0,0,95,65,83,0,0,0,0,0,1,1,1,3,1,2,0,0,tartajo01,40,100,83,961,2025-03-14,
Snapshot RF Danny Tartabull KC 1988,70804,86,7,,,,1988,N,Kansas City Royals,KCR,Tartabull,Danny,,4,30,10,1962,1,1,9,0,63,101,131,108,44,82,74,99,133,140,62,86,61,102,130,100,38,81,0,0,0,43,52,64,46,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,16,2,89-91,3,185,8,3,8,10,0,0,0,48,52,68,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,4,3,15,0,0,tartada01,1223,3333,1823,0,2025-03-14,
Snapshot RF Tony Tarasco MON 1995,70791,54,7,,,,1995,N,Montreal Expos,WSN,Tarasco,Tony,,44,9,12,1970,2,1,9,0,58,70,73,69,75,41,61,47,48,65,71,54,57,78,80,71,76,37,0,0,0,79,77,88,88,15,6,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,1,13,2,90-92,3,185,1,10,10,9,0,0,0,57,67,63,0,0,0,0,0,0,69,0,60,0,0,0,0,0,1,0,1,5,0,1,0,0,tarasto01,6,63,37,228,2025-03-14,
Snapshot SP Kevin Tapani MIN 1993,70710,75,7,,,,1993,N,Minnesota Twins,MIN,Tapani,Kevin,,36,18,2,1964,1,1,1,11,3,2,1,2,1,1,3,1,3,2,1,1,3,3,1,3,1,1,0,0,0,12,3,6,19,25,51,72,73,81,73,75,77,71,82,71,72,66,76,80,75,78,68,75,0,73,0,0,0,74,0,0,0,0,74,33,2,89-91,3,183,30,62,38,23,0,0,0,3,9,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,tapanke01,101,600,329,0,2025-03-14,
Brooks Robinson Mission - All-Time Legend 3B Lee Tannehill CWS Peak,71408,49,4,,,Brooks Robinson Mission,1904,Y,Chicago White Sox,CHW,Tannehill,Lee,,23,26,10,1880,1,1,5,0,67,99,5,35,86,52,76,84,5,54,95,63,65,105,5,30,84,48,2,1,0,60,65,74,63,92,95,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,29,0,0,0,0,0,0,0,0,0,0,0,1,6,2,89-91,4,180,102,81,103,95,0,0,0,7,8,4,0,0,0,0,111,105,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,tannele01,12,55,67,2885,2025-03-14,
Hardware Heroes SP Jesse Tannehill PIT 1901,70275,100,9,,,,1901,N,Pittsburgh Pirates,PIT,Tannehill,Jesse,Tanny,52,14,7,1874,3,2,1,11,68,95,59,48,55,81,61,98,77,35,47,77,70,94,54,53,57,84,0,1,0,84,79,66,79,22,9,122,102,115,110,88,118,104,118,115,84,123,101,114,108,89,83,0,150,130,0,0,0,0,0,0,0,0,82,65,2,91-93,3,173,27,34,26,16,0,0,0,58,61,67,68,0,0,0,0,0,70,33,62,0,0,0,0,0,1,1,1,0,5,200,0,0,tanneje01,60000,0,103225,0,2025-03-14,
Snapshot SP Masahiro Tanaka NYY 2016,70741,91,7,,,,2016,N,New York Yankees,NYY,Tanaka,Masahiro,Ma-kun,19,1,11,1988,1,1,1,11,3,3,1,3,1,1,3,3,2,3,1,1,3,3,1,3,1,1,1,2,0,7,3,6,10,21,3,71,96,104,88,113,70,93,111,86,108,72,98,98,90,116,78,68,65,0,71,0,81,0,0,0,0,0,76,85,2,92-94,3,191,35,65,41,23,0,0,0,9,6,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,50,0,0,tanakma01,6200,8333,9141,0,2025-03-14,
MLB 2025 Live SP Jameson Taillon CHC,72399,67,1,,,,2025,N,Chicago Cubs,CHC,Taillon,Jameson,Jamo,50,18,11,1991,1,1,1,11,25,13,3,9,27,25,26,14,4,10,29,26,25,13,3,9,27,25,0,0,0,21,15,22,28,33,15,59,82,100,73,101,58,80,99,72,97,61,84,102,74,104,71,62,58,54,62,0,0,0,0,0,0,0,54,39,3,93-95,3,196,28,33,39,22,0,0,0,0,0,0,72,0,60,6,9,0,0,0,0,0,1,1,1,0,0,0,0,8,1,2,0,1,taillja01,26,119,105,0,2025-03-14,
Tokyo Series Celebration - Unsung Heroes RF So Taguchi STL 2005,72833,58,8,,,Tokyo Series Celebration,2005,N,St. Louis Cardinals,STL,Taguchi,So,,99,2,7,1969,1,1,9,0,95,77,53,41,89,94,83,55,62,35,80,84,99,86,50,44,93,97,0,0,0,67,62,89,74,62,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,0,0,0,0,0,0,0,0,0,0,0,1,9,2,92-94,4,178,9,8,10,2,0,0,0,81,71,64,0,0,0,0,0,0,98,71,85,0,0,0,0,0,1,1,1,6,0,1,0,0,tagucso01,162,645,532,0,2025-03-20,
Snapshot RF Nick Swisher OAK 2007,69602,86,7,,,,2007,N,Oakland Athletics,OAK,Swisher,Nick,,33,25,11,1980,3,2,9,0,68,76,94,111,63,75,86,50,84,158,80,88,64,86,97,100,58,72,0,2,0,30,14,9,37,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,3,2,90-92,3,183,44,24,33,32,0,0,0,78,68,61,0,0,56,0,0,0,93,65,80,0,1,0,0,0,1,1,1,6,3,15,0,0,swishni01,1001,1999,1807,0,2025-03-14,
MLB 2025 Live SS Trey Sweeney DET,72025,41,1,,,,2025,N,Detroit Tigers,DET,Sweeney,Trey,,27,24,4,2000,2,1,6,0,63,76,65,73,63,66,62,76,63,70,61,66,64,77,66,74,64,67,1,2,0,67,57,82,65,35,33,1,24,1,1,71,1,23,1,1,69,1,25,1,1,73,5,0,0,0,0,0,0,0,0,0,0,0,1,23,4,75-80,3,191,77,71,70,70,1,1,1,59,61,64,127,0,99,83,73,67,71,35,61,0,1,1,1,1,1,1,1,8,0,1,0,1,sweentr01,10,67,38,0,2025-03-14,
Snapshot RF Ryan Sweeney OAK 2009,70787,65,7,,,,2009,N,Oakland Athletics,OAK,Sweeney,Ryan,,15,20,2,1985,2,2,9,0,82,72,31,70,95,75,74,72,22,78,78,70,89,73,34,67,102,77,1,2,0,53,54,60,60,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,24,2,90-92,3,193,4,5,3,9,0,0,0,81,86,106,0,0,0,0,0,0,110,79,106,0,0,0,0,0,1,1,1,6,1,2,0,0,sweenry01,86,0,116,0,2025-03-14,
Royals Live 2 - All-Time Legend 1B Mike Sweeney KC Peak,72713,97,4,,ME,Royals Live 2,2002,Y,Kansas City Royals,,Sweeney,Mike,,29,22,7,1973,1,1,3,0,119,94,86,96,124,106,127,84,89,90,128,112,118,97,86,99,123,105,2,2,0,31,34,65,50,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,0,0,0,0,0,0,0,0,0,0,0,1,22,2,92-94,4,185,74,51,56,52,39,44,50,6,4,7,0,33,83,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,4,75,0,0,sweenmi01,4500,12000,12184,0,2025-03-14,
MLB 2025 Live RP Erik Swanson TOR,71910,54,1,,,,2025,N,Toronto Blue Jays,TOR,Swanson,Erik,,50,4,9,1993,1,1,1,12,26,18,4,16,30,24,27,19,5,17,32,25,26,18,4,16,30,24,0,0,0,17,8,20,22,25,8,78,63,77,46,97,72,56,76,42,86,84,69,79,51,107,93,84,0,0,0,0,81,0,0,0,0,0,14,46,3,94-96,3,191,22,17,51,12,2,2,1,14,19,25,52,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,swanser01,33,40,32,0,2025-03-14,
MLB 2025 Live SS Dansby Swanson CHC,72411,94,1,,,,2025,N,Chicago Cubs,CHC,Swanson,Dansby,Dans,7,11,2,1994,1,1,6,0,77,87,75,78,72,83,80,90,78,82,76,86,76,86,75,77,71,82,3,2,0,62,54,82,69,64,40,1,20,1,1,60,1,20,1,1,60,1,20,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,90-92,3,185,102,89,82,85,3,3,5,54,61,64,140,0,97,116,101,99,65,27,56,0,1,1,1,1,1,1,1,8,4,50,0,0,swansda01,4590,7500,7107,0,2025-03-14,
Hardware Heroes SP Craig Swan NYM 1978,70279,91,9,,,,1978,N,New York Mets,NYM,Swan,Craig,,27,30,11,1950,1,1,1,11,6,7,4,10,6,3,7,12,2,6,6,6,6,6,5,12,6,3,0,0,0,11,8,6,15,67,57,86,97,77,78,137,62,113,66,105,130,115,93,88,69,143,81,92,97,0,0,0,0,0,0,0,0,0,81,50,4,91-93,4,191,26,24,24,23,0,0,0,10,4,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,50,0,0,swancr01,5000,12999,6990,0,2025-03-14,
MLB 2025 Live RF Seiya Suzuki CHC,72412,96,1,,,,2025,N,Chicago Cubs,CHC,Suzuki,Seiya,,27,18,8,1994,1,1,9,0,91,107,84,94,68,114,93,108,86,96,70,116,91,107,84,93,68,114,2,2,0,70,55,75,66,42,40,1,20,2,1,60,1,20,2,1,59,1,21,2,1,62,9,0,0,0,0,0,0,0,0,0,0,0,1,0,4,80-83,3,180,48,43,77,48,0,0,0,63,61,75,97,0,67,41,49,32,78,43,70,0,1,1,1,1,1,1,1,8,4,75,0,0,suzukse01,5555,7495,7301,0,2025-03-14,
MLB 2025 Live CF Jack Suwinski PIT,72505,77,1,,,,2025,N,Pittsburgh Pirates,PIT,Suwinski,Jack,,65,29,7,1998,2,2,8,0,59,80,95,89,55,66,57,78,87,80,53,65,60,82,98,92,56,67,2,2,0,71,52,84,71,56,45,1,28,1,1,82,1,28,1,1,82,1,28,1,1,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,90-92,3,188,28,29,53,12,1,1,1,80,76,61,70,0,49,0,0,0,96,69,83,0,1,0,0,0,1,1,1,8,2,5,0,0,suwinja01,290,347,331,0,2025-03-14,
MLB 2025 Live RP Brent Suter CIN,72437,53,1,,,,2025,N,Cincinnati Reds,CIN,Suter,Brent,,31,29,8,1989,2,2,1,12,25,14,7,30,26,25,25,14,7,30,26,25,25,15,8,31,27,26,0,0,0,18,19,13,21,41,18,58,63,89,52,87,64,72,95,58,101,57,61,87,51,82,0,56,0,73,73,62,0,0,0,0,0,0,19,78,3,87-89,3,193,25,16,60,29,0,0,0,0,0,0,58,0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,suterbr01,6,69,65,0,2025-03-14,
Unsung Heroes SP Ed Summers DET 1911,70412,61,8,,,,1911,N,Detroit Tigers,DET,Summers,Ed,Kickapoo Ed,37,5,12,1884,3,1,1,11,7,12,5,9,4,8,5,11,8,5,2,5,8,13,4,11,5,10,1,0,0,58,66,72,48,28,42,49,75,76,73,80,49,76,76,74,80,48,75,76,73,79,52,0,0,65,0,0,0,0,0,0,0,74,73,63,2,88-90,3,188,26,38,32,31,0,0,0,6,9,10,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,summeed01,26,59,51,0,2025-03-14,
Snapshot RF Champ Summers DET 1979,70815,91,7,,,,1979,N,Detroit Tigers,DET,Summers,Champ,,28,15,6,1946,2,1,9,0,65,79,123,120,64,68,53,66,108,140,43,62,69,85,130,116,71,70,2,0,2,55,72,64,47,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,16,2,89-91,3,188,31,26,29,31,0,0,0,46,44,54,0,0,51,0,0,0,50,0,41,0,1,0,0,0,1,0,1,3,4,50,0,0,summech01,5000,7385,4962,12346,2025-03-14,
Snapshot RF Homer Summa CLE 1926,70832,73,7,,,,1926,N,Cleveland,CLE,Summa,Homer,,79,3,11,1898,2,1,9,0,113,71,49,68,160,78,77,55,65,94,107,57,130,77,43,61,180,89,1,1,0,58,65,73,53,60,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,2,2,90-92,3,178,10,1,7,1,0,0,0,73,80,74,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,1,1,2,5,0,0,summaho01,210,830,332,0,2025-03-14,
Rookie Sensation SP Frank Sullivan BOS 1954,71540,92,3,,,,1954,N,Boston Red Sox,BOS,Sullivan,Frank,,18,23,1,1930,1,1,1,11,9,42,12,28,10,7,6,29,12,31,6,4,11,47,12,28,12,8,0,1,0,5,4,6,5,43,16,87,101,79,93,117,82,101,77,92,120,91,101,81,95,114,71,0,116,115,0,0,0,0,0,0,0,0,74,33,2,90-92,3,198,26,47,34,29,0,0,0,4,7,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,50,0,0,sullifr01,4500,19999,7640,34568,2025-03-14,
Rookie Sensation CF Cory Sullivan COL 2005,71622,58,3,,,,2005,N,Colorado Rockies,COL,Sullivan,Cory,,31,20,8,1979,2,2,8,0,79,49,28,70,61,104,72,33,36,64,53,96,84,54,26,72,65,107,0,1,0,81,58,81,94,58,2,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,29,0,0,0,0,0,0,0,0,0,0,0,1,15,2,89-91,3,183,10,5,2,7,0,0,0,69,83,97,0,0,0,0,0,0,93,58,0,0,0,0,0,0,1,1,0,6,0,1,0,0,sullico01,6,34,26,344,2025-03-14,
MLB 2025 Live CL Robert Suarez SD,72653,57,1,,,,2025,N,San Diego Padres,SDP,Suarez,Robert,,75,1,3,1991,1,1,1,13,24,24,2,33,27,17,25,25,3,34,29,18,24,24,2,33,27,17,0,0,0,10,10,5,15,34,11,74,73,77,58,104,75,74,77,59,105,74,73,77,58,104,110,0,0,58,65,0,0,0,0,0,0,0,15,57,3,98-100,3,188,21,30,47,20,2,2,2,5,16,22,62,0,43,0,10,0,0,0,0,0,1,0,1,0,0,0,0,8,0,1,0,1,suarero01,16,48,36,0,2025-03-14,
MLB 2025 Live SP Ranger Suarez PHI,72339,78,1,,,,2025,N,Philadelphia Phillies,PHI,Suarez,Ranger,,55,26,8,1995,2,2,1,11,26,19,2,17,17,32,25,19,2,16,16,32,26,20,3,18,18,33,0,0,0,23,23,22,23,49,28,65,92,83,97,82,67,94,85,99,84,65,92,82,97,82,65,0,71,72,66,74,0,0,0,0,0,0,53,47,0,91-93,3,185,24,31,58,25,1,1,1,10,19,28,71,0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,5,0,1,suarera01,551,1150,1032,0,2025-03-14,
MLB 2025 Live SP Jose Suarez LAA,72093,58,1,,,,2025,N,Los Angeles Angels,ANA,Suarez,Jose,,54,3,1,1998,2,2,1,11,17,16,6,20,22,12,16,16,6,19,20,12,18,17,7,21,23,13,0,0,0,17,10,22,18,44,33,71,74,73,77,70,75,83,77,89,73,70,73,72,75,69,77,71,58,75,71,73,0,0,0,0,0,0,52,61,3,93-95,3,178,28,53,53,33,1,1,1,16,33,49,86,0,49,0,0,0,12,0,0,0,1,0,0,0,1,0,0,8,0,1,0,1,suarejo01,10,48,38,0,2025-03-14,
MLB 2025 Live 3B Eugenio Suarez AZ,72565,72,1,,,,2025,N,Arizona Diamondbacks,ARI,Suarez,Eugenio,Nicolle,28,18,7,1991,1,1,5,0,68,81,85,82,58,78,69,82,87,83,59,79,68,81,85,82,58,78,3,2,0,40,7,11,31,49,55,1,22,1,1,66,1,22,1,1,66,1,22,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,-,3,180,67,63,84,49,1,1,1,51,51,65,119,0,74,65,70,55,60,20,52,0,1,1,1,1,1,1,1,8,2,5,0,0,suareeu01,510,1075,862,0,2025-03-14,
MLB 2025 Live SP Albert Suarez BAL,71803,46,1,,,,2025,N,Baltimore Orioles,BAL,Suarez,Albert,Chiguire,49,8,10,1989,1,1,1,11,27,18,4,18,20,34,27,18,4,18,21,34,27,18,4,18,20,34,0,0,0,19,9,22,25,45,11,62,71,79,67,80,57,66,78,63,74,66,77,82,71,89,78,73,0,0,0,0,0,0,0,67,67,0,53,57,4,94-96,3,191,34,12,45,6,0,0,0,0,0,0,58,0,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,suareal01,6,45,26,0,2025-03-14,
Snapshot 3B Chris Stynes CIN 2000,71001,74,7,,,,2000,N,Cincinnati Reds,CIN,Stynes,Chris,,12,19,1,1973,1,1,5,0,98,62,64,60,90,99,78,65,50,64,81,76,106,62,70,59,93,109,2,1,0,43,35,70,67,18,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,24,2,90-92,3,175,50,62,64,38,0,0,0,75,85,61,0,0,0,44,49,0,92,0,0,0,0,1,1,0,1,0,0,5,2,5,0,1,stynech01,170,333,265,0,2025-03-14,
Snapshot SP Tanyon Sturtze TB 2002,70718,46,7,,,,2002,N,Tampa Bay Devil Rays,TBD,Sturtze,Tanyon,,49,12,10,1970,1,1,1,11,3,3,2,3,1,1,3,3,2,3,1,1,3,3,2,3,1,1,0,0,0,6,3,6,7,28,9,54,56,55,59,50,51,39,39,36,47,57,65,67,72,53,52,65,0,0,0,0,71,0,0,0,0,0,79,33,4,88-90,3,196,27,20,23,23,0,0,0,9,6,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,sturtta01,12,90,61,334,2025-03-14,
Tim Wakefield Mission - Snapshot SP Tom Sturdivant WS2 1961,70770,73,7,,,Tim Wakefield Mission,1961,N,Washington Senators,TEX,Sturdivant,Tom,Smoke,35,28,4,1930,2,1,1,11,6,5,5,7,4,4,5,8,5,7,2,4,6,5,5,8,5,4,1,0,0,12,5,6,20,26,50,66,99,66,97,103,66,105,66,106,104,65,93,67,90,101,56,0,68,0,0,0,0,0,0,0,0,126,77,51,3,88-90,3,185,34,18,25,23,0,0,0,4,6,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,sturdto01,293,550,570,0,2025-03-14,
MLB 2025 Live C Garrett Stubbs PHI,72357,52,1,,,,2025,N,Philadelphia Phillies,PHI,Stubbs,Garrett,,21,26,5,1993,2,1,2,0,73,77,29,78,72,75,69,76,28,75,68,73,74,78,30,80,74,76,0,0,0,65,44,72,64,50,21,24,33,47,21,58,24,33,47,21,58,24,33,47,21,58,25,0,0,41,0,0,0,0,0,0,0,0,22,24,3,75-80,3,178,37,46,57,39,60,58,75,45,51,55,89,61,56,28,32,5,50,9,41,1,1,1,1,1,1,1,1,8,0,1,0,1,stubbga01,7,44,27,0,2025-03-14,
Snapshot 1B Franklin Stubbs HOU 1990,71126,72,7,,,,1990,N,Houston Astros,HOU,Stubbs,Franklin,Cadillac,24,21,10,1960,2,2,3,0,57,85,108,79,51,65,65,96,93,90,45,85,55,82,113,78,53,59,2,0,0,59,79,79,67,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,16,2,90-92,3,188,53,27,37,31,0,0,0,61,44,61,0,0,69,0,0,0,69,0,0,0,1,0,0,0,1,0,0,4,2,5,0,0,stubbfr01,155,393,341,0,2025-03-14,
Eric Davis Mission - Snapshot CF Drew Stubbs CIN 2010,70888,83,7,,,Eric Davis Mission,2010,N,Cincinnati Reds,CIN,Stubbs,Drew,,6,4,10,1984,1,1,8,0,67,58,95,78,39,96,60,54,145,76,43,77,70,60,82,79,38,104,1,0,0,92,82,98,102,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,15,2,90-92,3,193,2,8,8,6,0,0,0,89,80,83,0,0,0,0,0,0,0,88,103,0,0,0,0,0,0,1,1,6,3,10,0,0,stubbdr01,2222,0,2467,0,2025-03-14,
